entry,at,order
"""thecow808 @ uTl-xcNY0V"" calls 169",2021-12-26T08:26:17.829Z,164050717782900
"""melon @ 6k_YazKYoG"" bets 169 and go all in",2021-12-26T08:26:14.901Z,164050717490100
"Turn: 4♥, 5♠, 9♣ [6♣]",2021-12-26T08:26:11.972Z,164050717197200
"""thecow808 @ uTl-xcNY0V"" calls 22",2021-12-26T08:26:11.148Z,164050717114800
"""melon @ 6k_YazKYoG"" bets 22",2021-12-26T08:26:08.311Z,164050716831100
"Flop:  [4♥, 5♠, 9♣]",2021-12-26T08:26:01.652Z,164050716165200
"""thecow808 @ uTl-xcNY0V"" calls 27",2021-12-26T08:26:00.787Z,164050716078700
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:25:57.320Z,164050715732000
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:25:56.311Z,164050715631100
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:25:46.119Z,164050714611900
"""melon @ 6k_YazKYoG"" raises to 27",2021-12-26T08:25:44.993Z,164050714499300
"""thecow808 @ uTl-xcNY0V"" calls 5",2021-12-26T08:25:40.540Z,164050714054000
"""how @ v1kEn2eTHk"" calls 5",2021-12-26T08:25:38.431Z,164050713843100
"The admin approved the player ""path_connected @ qTbML-xxiE"" participation with a stack of 300.",2021-12-26T08:25:34.466Z,164050713446600
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:25:30.716Z,164050713071600
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:25:29.837Z,164050712983700
"The player ""path_connected @ qTbML-xxiE"" requested a seat.",2021-12-26T08:25:29.101Z,164050712910100
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:25:28.883Z,164050712888300
"""home game hero @ dgEP-4bywu"" raises to 5",2021-12-26T08:25:27.925Z,164050712792500
"""mikehaze @ WQjt0Mpf2J"" posts a big blind of 2",2021-12-26T08:25:20.879Z,164050712087912
"""melon @ 6k_YazKYoG"" posts a small blind of 1",2021-12-26T08:25:20.879Z,164050712087911
"Your hand is 4♦, K♦",2021-12-26T08:25:20.879Z,164050712087906
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (110) | #2 ""dagmlar @ GQEWTYNCmH"" (262) | #5 ""mangarino @ UBRS2d0ZyT"" (145) | #6 ""how @ v1kEn2eTHk"" (339) | #7 ""thecow808 @ uTl-xcNY0V"" (1182) | #8 ""melon @ 6k_YazKYoG"" (218) | #9 ""mikehaze @ WQjt0Mpf2J"" (262) | #10 ""home game hero @ dgEP-4bywu"" (1664)",2021-12-26T08:25:20.879Z,164050712087902
"-- starting hand #560  (No Limit Texas Hold'em) (dealer: ""thecow808 @ uTl-xcNY0V"") --",2021-12-26T08:25:20.879Z,164050712087901
"The player ""path_connected @ qTbML-xxiE"" quits the game with a stack of 156.",2021-12-26T08:25:20.879Z,164050712087900
"-- ending hand #559 --",2021-12-26T08:25:17.879Z,164050711787902
"""thecow808 @ uTl-xcNY0V"" collected 12 from pot",2021-12-26T08:25:17.879Z,164050711787901
"Uncalled bet of 16 returned to ""thecow808 @ uTl-xcNY0V""",2021-12-26T08:25:17.879Z,164050711787900
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:25:17.039Z,164050711703900
"""melon @ 6k_YazKYoG"" folds",2021-12-26T08:25:15.184Z,164050711518400
"""thecow808 @ uTl-xcNY0V"" raises to 21",2021-12-26T08:25:13.976Z,164050711397600
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:25:09.448Z,164050710944800
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:25:06.392Z,164050710639200
"""path_connected @ qTbML-xxiE"" folds",2021-12-26T08:25:05.470Z,164050710547000
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:25:04.620Z,164050710462000
"""isaacwu @ Mhf_KbfDe4"" raises to 5",2021-12-26T08:25:03.693Z,164050710369300
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:24:57.843Z,164050709784300
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:24:56.883Z,164050709688300
"""melon @ 6k_YazKYoG"" posts a big blind of 2",2021-12-26T08:24:53.550Z,164050709355012
"""thecow808 @ uTl-xcNY0V"" posts a small blind of 1",2021-12-26T08:24:53.550Z,164050709355011
"Your hand is Q♦, 7♠",2021-12-26T08:24:53.550Z,164050709355006
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (115) | #2 ""dagmlar @ GQEWTYNCmH"" (262) | #3 ""path_connected @ qTbML-xxiE"" (156) | #5 ""mangarino @ UBRS2d0ZyT"" (145) | #6 ""how @ v1kEn2eTHk"" (339) | #7 ""thecow808 @ uTl-xcNY0V"" (1175) | #8 ""melon @ 6k_YazKYoG"" (220) | #9 ""mikehaze @ WQjt0Mpf2J"" (262) | #10 ""home game hero @ dgEP-4bywu"" (1664)",2021-12-26T08:24:53.550Z,164050709355001
"-- starting hand #559  (No Limit Texas Hold'em) (dealer: ""how @ v1kEn2eTHk"") --",2021-12-26T08:24:53.550Z,164050709355000
"-- ending hand #558 --",2021-12-26T08:24:50.548Z,164050709054802
"""thecow808 @ uTl-xcNY0V"" collected 29 from pot",2021-12-26T08:24:50.548Z,164050709054801
"Uncalled bet of 21 returned to ""thecow808 @ uTl-xcNY0V""",2021-12-26T08:24:50.548Z,164050709054800
"""path_connected @ qTbML-xxiE"" folds",2021-12-26T08:24:49.699Z,164050708969900
"""thecow808 @ uTl-xcNY0V"" raises to 30",2021-12-26T08:24:42.590Z,164050708259000
"""path_connected @ qTbML-xxiE"" bets 9",2021-12-26T08:24:35.817Z,164050707581700
"""thecow808 @ uTl-xcNY0V"" checks",2021-12-26T08:24:31.436Z,164050707143600
"Flop:  [J♣, 7♠, 6♥]",2021-12-26T08:24:29.713Z,164050706971300
"""thecow808 @ uTl-xcNY0V"" calls 5",2021-12-26T08:24:28.854Z,164050706885400
"The player ""noland @ geTwanWsV_"" canceled the seat request.",2021-12-26T08:24:27.393Z,164050706739300
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:24:18.850Z,164050705885000
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:24:17.939Z,164050705793900
"""path_connected @ qTbML-xxiE"" raises to 5",2021-12-26T08:24:17.066Z,164050705706600
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:24:14.653Z,164050705465300
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:24:13.763Z,164050705376300
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:24:07.983Z,164050704798300
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:24:07.036Z,164050704703600
"""melon @ 6k_YazKYoG"" folds",2021-12-26T08:24:03.563Z,164050704356300
"""thecow808 @ uTl-xcNY0V"" posts a big blind of 2",2021-12-26T08:24:02.297Z,164050704229712
"""how @ v1kEn2eTHk"" posts a small blind of 1",2021-12-26T08:24:02.297Z,164050704229711
"Your hand is 9♥, Q♠",2021-12-26T08:24:02.297Z,164050704229706
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (115) | #2 ""dagmlar @ GQEWTYNCmH"" (262) | #3 ""path_connected @ qTbML-xxiE"" (170) | #5 ""mangarino @ UBRS2d0ZyT"" (145) | #6 ""how @ v1kEn2eTHk"" (340) | #7 ""thecow808 @ uTl-xcNY0V"" (1160) | #8 ""melon @ 6k_YazKYoG"" (220) | #9 ""mikehaze @ WQjt0Mpf2J"" (262) | #10 ""home game hero @ dgEP-4bywu"" (1664)",2021-12-26T08:24:02.297Z,164050704229701
"-- starting hand #558  (No Limit Texas Hold'em) (dealer: ""mangarino @ UBRS2d0ZyT"") --",2021-12-26T08:24:02.297Z,164050704229700
"-- ending hand #557 --",2021-12-26T08:23:59.386Z,164050703938602
"""dagmlar @ GQEWTYNCmH"" collected 5 from pot",2021-12-26T08:23:59.386Z,164050703938601
"Uncalled bet of 3 returned to ""dagmlar @ GQEWTYNCmH""",2021-12-26T08:23:59.386Z,164050703938600
